1789,2453,0
1882.2402985946148,2418.902064834456
2002.1858538210188,2456.8277847241843
2144.444512176995,2448.968682436961
2278.562449770968,2463.147076831646
2401.895160689325,2475.0080791473392
2489.39472025694,2458.44588615091
2588.2046175793635,2419.6968853950684
2729.2337856626777,2371.580718952726
2877.284042686182,2350.0426570402637
2918.5355628521347,2312.3283448980037
3019.5677770473785,2297.5453498746474
3107.829332429191,2267.2603825275214
3196.9887005567116,2217.804951994789
3282.117091249359,2171.0289909055673
3380.6799471473983,2102.606629013834
3318.802563506111,2045.3977570654056
3435.0899442266527,1966.746202442148
3502.7757302631394,1915.1247828509154
3445.969669560455,1859.8832473411908
3445.970867555594,1809.8832473555426
3481.733584146141,1776.944782446929
3367.987512195657,1685.7461800121478
3324.9267253325943,1660.3342018377934
3324.8733631131367,1610.3342303130662
3284.8567610211294,1580.3563792057907
3284.864568182031,1530.3563798153082
3418.957741663796,1469.0721945461569
3544.820101107028,1396.382129700306
3679.8735373652094,1332.1733410204329
3725.107517626367,1310.8687164113671
3858.232967971074,1244.7565194940903
3784.564571183238,1177.170175600745
3661.514302232873,1094.3030019484313
3517.607747935799,1086.8103718613365
3430.657066398175,1136.1096130266073
3512.0137435285587,1191.4433870501412
